Region,Year,Month,Energy
Norte,2019,June,2720526.67
Nordeste,2019,June,6631774.709999998
Sudeste,2019,June,18980779.55
Sul,2019,June,7058333.919999998
Centro-Oeste,2019,June,3057548.5799999996
Brasil,2018,June,38207689.970000006
Norte,2018,June,2582786.8200000003
Nordeste,2018,June,6603192.869999999
Sudeste,2018,June,19179160.04
Sul,2018,June,6899775.49
Centro-Oeste,2018,June,2942774.75
Brasil,2017,June,38119592.089999996
Norte,2017,June,2891844
Nordeste,2017,June,6597184.91
Sudeste,2017,June,18859514.270000003
Sul,2017,June,6804976.2
Centro-Oeste,2017,June,2966072.71
Brasil,2016,June,37557220.230000004
Norte,2016,June,2818826
Nordeste,2016,June,6602855.78
Sudeste,2016,June,18651588.86
Sul,2016,June,6644135.8
Centro-Oeste,2016,June,2839813.79
Brasil,2015,June,37269714.830000006
Norte,2015,June,2693038
Nordeste,2015,June,6441764.46
Sudeste,2015,June,18752590.64
Sul,2015,June,6567886
Centro-Oeste,2015,June,2814435.73
Brasil,2014,June,37726472.88
Norte,2014,June,2643397
Nordeste,2014,June,6378157.88
Sudeste,2014,June,19293127
Sul,2014,June,6627215
Centro-Oeste,2014,June,2784576
Brasil,2013,June,37627698.010000005
Norte,2013,June,2449533.01
Nordeste,2013,June,6384530
Sudeste,2013,June,19652655
Sul,2013,June,6498366
Centro-Oeste,2013,June,2642614
Brasil,2012,June,36528393.11
Norte,2012,June,2382273.83
Nordeste,2012,June,6135291
Sudeste,2012,June,19343073
Sul,2012,June,6180121.28
Centro-Oeste,2012,June,2487634
Brasil,2011,June,35159573.72
Norte,2011,June,2323603.7199999997
Nordeste,2011,June,5809043
Sudeste,2011,June,18737534
Sul,2011,June,6011171
Centro-Oeste,2011,June,2278222
Brasil,2010,June,34169459
Norte,2010,June,2198244
Nordeste,2010,June,5905720
Sudeste,2010,June,18212704
Sul,2010,June,5652619
Centro-Oeste,2010,June,2200172
Brasil,2009,June,30715169.95
Norte,2009,June,1993823
Nordeste,2009,June,5122496
Sudeste,2009,June,16330119
Sul,2009,June,5261043
Centro-Oeste,2009,June,2007688.95
Brasil,2008,June,31742987.79
Norte,2008,June,1980943
Nordeste,2008,June,5241034.79
Sudeste,2008,June,17180445
Sul,2008,June,5368281
Centro-Oeste,2008,June,1972284
Brasil,2007,June,30766760
Norte,2007,June,1899318
Nordeste,2007,June,5079581
Sudeste,2007,June,16890489
Sul,2007,June,5114607
Centro-Oeste,2007,June,1782765
Brasil,2006,June,29068797.599999994
Norte,2006,June,1761920.0300000003
Nordeste,2006,June,4769522.06
Sudeste,2006,June,15969883.010000002
Sul,2006,June,4879785.7700000005
Centro-Oeste,2006,June,1687686.7299999997
Brasil,2005,June,28326181.920000013
Norte,2005,June,1692287.96
Nordeste,2005,June,4575214.83
Sudeste,2005,June,15633866.989999998
Sul,2005,June,4760323.789999999
Centro-Oeste,2005,June,1664488.35
Brasil,2004,June,27082961.479999997
Norte,2004,June,1641381.91
Nordeste,2004,June,4409301.739999999
Sudeste,2004,June,14898517.41
Sul,2004,June,4556563.56
Centro-Oeste,2004,June,1577196.8599999999
Brasil,2024,July,0
Norte,2024,July,0
Nordeste,2024,July,0
Sudeste,2024,July,0
Sul,2024,July,0
Centro-Oeste,2024,July,0
Brasil,2023,July,42002500.300000004
Norte,2023,July,3426421.4
Nordeste,2023,July,7463808.490000002
Sudeste,2023,July,20135946.169999998
Sul,2023,July,7705370.51
Centro-Oeste,2023,July,3270953.73
Brasil,2022,July,41232572.94999999
Norte,2022,July,3254761.24
Nordeste,2022,July,7104760.800000002
Sudeste,2022,July,19948620.89
Sul,2022,July,7629542.6
Centro-Oeste,2022,July,3294887.42
Brasil,2021,July,40190502.12000002
Norte,2021,July,3034193.1399999997
Nordeste,2021,July,6994258.229999998
Sudeste,2021,July,19528232.239
Sul,2021,July,7472283.811
Centro-Oeste,2021,July,3161534.7
Brasil,2020,July,37874852.129000016
Norte,2020,July,2898335.31
Nordeste,2020,July,6535254.399999999
Sudeste,2020,July,18381116.009999998
Sul,2020,July,6979429.558999998
Centro-Oeste,2020,July,3080716.8500000006
Brasil,2019,July,38353669.269999996
Norte,2019,July,2820493.4800000004
Nordeste,2019,July,6679904.930000001
Sudeste,2019,July,18699587.519999996
Sul,2019,July,7081184.789999999
Centro-Oeste,2019,July,3072498.55
Brasil,2018,July,38515114.91
Norte,2018,July,2658452.06
Nordeste,2018,July,6527352.22
Sudeste,2018,July,19272778.68
Sul,2018,July,7049955.93
Centro-Oeste,2018,July,3006576.02
Brasil,2017,July,37383447.35999999
Norte,2017,July,2882108
Nordeste,2017,July,6385162.18
Sudeste,2017,July,18492331.66
Sul,2017,July,6751139.17
Centro-Oeste,2017,July,2872706.35
Brasil,2016,July,37261270.92
Norte,2016,July,2900857
Nordeste,2016,July,6469705.8
Sudeste,2016,July,18388987.38
Sul,2016,July,6665439.9
Centro-Oeste,2016,July,2836280.84
Brasil,2015,July,36819663.29
Norte,2015,July,2833640
Nordeste,2015,July,6218709.45
Sudeste,2015,July,18532921.47
Sul,2015,July,6446540
Centro-Oeste,2015,July,2787852.37
Brasil,2014,July,37765729
Norte,2014,July,2720799
Nordeste,2014,July,6554674
Sudeste,2014,July,19111350
Sul,2014,July,6639960
Centro-Oeste,2014,July,2738946
Brasil,2013,July,37697945.03
Norte,2013,July,2562520.0300000003
Nordeste,2013,July,6534919
Sudeste,2013,July,19331509
Sul,2013,July,6544154
Centro-Oeste,2013,July,2724843
Brasil,2012,July,35917147.199999996
Norte,2012,July,2397647.91
Nordeste,2012,July,6111808
Sudeste,2012,July,18762191
