Região,Ano,Mês,Energia
Nordeste,2020,Abril,6370728.71
Sudeste,2020,Abril,18064679.860000003
Sul,2020,Abril,7081306.47
Centro-Oeste,2020,Abril,3125511.42
Brasil,2019,Abril,39731356.75999998
Norte,2019,Abril,2568934.2800000003
Nordeste,2019,Abril,6780238.95
Sudeste,2019,Abril,19827659.31
Sul,2019,Abril,7470885.5
Centro-Oeste,2019,Abril,3083638.7199999997
Brasil,2018,Abril,40697563.25000002
Norte,2018,Abril,2679313.77
Nordeste,2018,Abril,6668104.29
Sudeste,2018,Abril,20732785.770000003
Sul,2018,Abril,7527392.069999999
Centro-Oeste,2018,Abril,3089967.35
Brasil,2017,Abril,39436572.29
Norte,2017,Abril,2721049
Nordeste,2017,Abril,6567471.6
Sudeste,2017,Abril,19877597.32
Sul,2017,Abril,7275839.72
Centro-Oeste,2017,Abril,2994614.65
Brasil,2016,Abril,40276231.080000006
Norte,2016,Abril,2727271
Nordeste,2016,Abril,6615689.72
Sudeste,2016,Abril,20520225.2
Sul,2016,Abril,7326166.4799999995
Centro-Oeste,2016,Abril,3086878.68
Brasil,2015,Abril,39602500.300000004
Norte,2015,Abril,2646878
Nordeste,2015,Abril,6677082.84
Sudeste,2015,Abril,20215138.02
Sul,2015,Abril,7236051.6
Centro-Oeste,2015,Abril,2827349.84
Brasil,2014,Abril,39550251
Norte,2014,Abril,2601327
Nordeste,2014,Abril,6683649
Sudeste,2014,Abril,20451935
Sul,2014,Abril,7007480
Centro-Oeste,2014,Abril,2805860
Brasil,2013,Abril,38653663.43
Norte,2013,Abril,2461104.4299999997
Nordeste,2013,Abril,6852552
Sudeste,2013,Abril,20097448
Sul,2013,Abril,6572123
Centro-Oeste,2013,Abril,2670436
Brasil,2012,Abril,37995869.09
Norte,2012,Abril,2361904.7800000003
Nordeste,2012,Abril,6271553
Sudeste,2012,Abril,20295686
Sul,2012,Abril,6534981.31
Centro-Oeste,2012,Abril,2531744
Brasil,2011,Abril,36048318.05
Norte,2011,Abril,2218663.05
Nordeste,2011,Abril,5966554
Sudeste,2011,Abril,19369031
Sul,2011,Abril,6183233
Centro-Oeste,2011,Abril,2310837
Brasil,2010,Abril,35025860.489999995
Norte,2010,Abril,2146015.49
Nordeste,2010,Abril,5884040
Sudeste,2010,Abril,18825122
Sul,2010,Abril,5982263
Centro-Oeste,2010,Abril,2188420
